TEAM,WINS,LOSSES,PCT,PPG,OPP PPG,DIFF,SIGN,3PT WINS,3PT LOSSES,10PT WINS,10PT LOSSES
Boston,53,29,0.646,108,105.4,2.7,positive,7,6,18,11
Cleveland,51,31,0.622,110.3,107.2,3.2,positive,3,4,25,15
Toronto,51,31,0.622,106.9,102.6,4.2,positive,8,7,26,8
Washington,49,33,0.598,109.2,107.4,1.8,positive,9,6,18,12
Atlanta,43,39,0.524,103.2,104,0.9,negative,7,8,17,21
Milwaukee,42,40,0.512,103.6,103.8,0.2,negative,8,2,21,22
Indiana,42,40,0.512,105.1,105.3,0.2,negative,4,2,23,19
Chicago ,41,41,0.5,102.9,102.4,0.4,positive,5,6,17,23
Miami,41,41,0.5,103.2,102.1,1.1,positive,8,6,19,13
Detroit,37,45,0.451,101.3,102.5,1.1,negative,5,7,23,26
Charlotte,36,46,0.439,104.9,104.7,0.2,positive,0,9,19,19
New York,31,51,0.378,104.3,108,3.7,negative,7,10,10,25
Orlando ,29,53,0.354,101.1,107.6,6.6,negative,5,5,10,32
Philadelphia ,28,54,0.341,102.4,108.1,5.7,negative,9,8,7,29
Brooklyn,20,62,0.244,105.8,112.5,6.7,negative,3,6,9,30
GSW,67,15,0.817,115.9,104.3,11.6,positive,3,4,48,6
San Antonio,61,21,0.744,105.3,98.1,7.2,positive,8,5,30,8
Houston,55,27,0.671,115.3,109.6,5.8,positive,8,3,30,11
LA Clippers,51,31,0.622,108.7,104.4,4.3,positive,3,6,33,14
Utah,51,31,0.622,100.7,96.8,3.9,positive,4,4,23,10
OKC,47,35,0.573,106.6,105.8,0.8,positive,12,7,23,21
Memphis,43,39,0.524,100.5,100,0.5,positive,7,5,17,20
Portland,41,41,0.5,107.9,108.5,0.5,negative,7,11,18,16
Denver,40,42,0.488,111.7,111.2,0.5,positive,5,10,24,19
New Orleans,34,48,0.415,104.3,106.4,2.1,negative,7,6,17,22
Dallas,33,49,0.402,97.9,100.8,2.9,negative,4,6,14,26
Sacramento,32,50,0.39,102.8,106.7,3.9,negative,10,6,9,27
Minnesota,31,51,0.378,105.6,106.7,1.1,negative,7,10,18,19
LA Lakers,26,56,0.317,104.6,111.5,6.9,negative,2,4,14,31
Phoenix,24,58,0.293,107.7,113.3,5.6,negative,9,5,7,32
